premise_name,opening_date,closing_date,premise_address1
BANH'S CUISINE,7/1/1990 12:00:00 AM,,750 NINTH STREET
BISCUITVILLE - 103,7/1/1990 12:00:00 AM,,1129 CLUB BOULEVARD
BISCUITVILLE - 149,7/1/1990 12:00:00 AM,,3203 N. ROXBORO ROAD
BOJANGLES #4,7/1/1990 12:00:00 AM,,4831 APEX HIGHWAY
BOJANGLES #9,7/1/1990 12:00:00 AM,,4150 GARRETT ROAD
BOJANGLES #8,7/1/1990 12:00:00 AM,,3558 HILLSBOROUGH ROAD
BOJANGLES #10,7/1/1990 12:00:00 AM,,1712 S. MIAMI BOULEVARD
BOJANGLES #6,7/1/1990 12:00:00 AM,,4525 N. ROXBORO ROAD
BULLOCK'S BAR B CUE  INC,7/1/1990 12:00:00 AM,,3330 QUEBEC STREET
BURGER KING #217,7/1/1990 12:00:00 AM,,3400 WESTGATE DRIVE
CHICKEN HUT #1,7/1/1990 12:00:00 AM,,3019 FAYETTEVILLE STREET
CHILI'S  115,7/1/1990 12:00:00 AM,,4600 CHAPEL HILL BOULEVARD
CIRCUS FOOD STORES,7/1/1990 12:00:00 AM,,3801 WAKE FOREST HIGHWAY
CLASSIC FOOD SERVICE,7/1/1990 12:00:00 AM,,1716 CAMDEN AVENUE
DEVINE'S RESTAURANT,7/1/1990 12:00:00 AM,,904 W MAIN ST
DURHAM EXCHANGE CLUB CAFETERIA,7/1/1990 12:00:00 AM,,1717 LAWSON STREET
EL RODEO OF DURHAM INC,7/1/1990 12:00:00 AM,,905 W MAIN STREET
FISH MONGERS,7/1/1990 12:00:00 AM,,806 W MAIN STREET
THE GROVE CAFE,7/1/1990 12:00:00 AM,,110 CLAYTON ROAD
HARDEE'S #1624,7/1/1990 12:00:00 AM,,4607 ALSTON AVENUE
HARDEE'S OF DUKE STREET  1613,7/1/1990 12:00:00 AM,,3912 N. DUKE STREET
HARDEE'S OF WELLON VILLAGE 135,7/1/1990 12:00:00 AM,,1031 MIAMI BLVD
ITALIAN PIZZERIA,7/1/1990 12:00:00 AM,,113 WELLONS VILLAGE
ITALIAN PIZZERIA,7/1/1990 12:00:00 AM,,3823 GUESS RD
MARIOTT-RTP,7/1/1990 12:00:00 AM,,4700 GUARDIAN DRIVE
NEO CHINA,7/1/1990 12:00:00 AM,,4015 UNIVERSITY DRIVE
COUNTRY JUNCTION,7/1/1990 12:00:00 AM,,4823 APEX HIGHWAY
SALADELIA,7/1/1990 12:00:00 AM,,4201 UNIVERSITY DRIVE
SHERATON IMPERIAL HOTEL,7/1/1990 12:00:00 AM,,4700 EMPEROR BOULEVARD
BEL GUSTO,7/1/1990 12:00:00 AM,,2800 CAMPUS WALK AVE
TOMMY'S MINI MART,7/1/1990 12:00:00 AM,,1832 COLE MILL ROAD
VILLAGE BOWL,7/1/1990 12:00:00 AM,,330 HARDEE STREET
WENDY'S #1355,7/1/1990 12:00:00 AM,,4819 APEX HIGHWAY
WENDY'S #1351,7/1/1990 12:00:00 AM,,4311 ROXBORO ROAD
WENDY'S #1352,7/1/1990 12:00:00 AM,,3527 HILLSBOROUGH ROAD
WENDY'S #1357,7/1/1990 12:00:00 AM,,3107 SHANNON ROAD
YAMAZUSHI,7/1/1990 12:00:00 AM,,4711 HOPE VALLEY RD SUITE 6A
ROY'S KOUNTRY KITCHEN,7/1/1990 12:00:00 AM,,2514 FAYETTEVILLE STREET
PIZZA HUT,7/1/1990 12:00:00 AM,,2107 E. HWY. 54
SARA'S  EMPANADAS,7/1/1990 12:00:00 AM,,5410-0 HWY 55
WHEEL'S RECREATION CTR,7/1/1990 12:00:00 AM,,715 HOOVER ROAD
PARIZADE,7/1/1990 12:00:00 AM,,2200 W MAIN STREET
GOLDEN CORRAL OF DURHAM #546,7/1/1990 12:00:00 AM,,3800 ROXBORO ROAD
ITALIAN PIZZERIA,7/1/1990 12:00:00 AM,,3500 N ROXBORO ROAD
FOSTER'S MARKET,7/1/1990 12:00:00 AM,,2694 CHAPEL HILL BLVD
BOJANGLES #13,3/9/1992 12:00:00 AM,,2801 GUESS ROAD
WHEELS ROLLER SKATING CENTER,3/10/1992 12:00:00 AM,,715 N HOOVER ROAD
HARDEE'S # 4 1251,5/4/1992 12:00:00 AM,,2721 CHAPEL HILL ROAD
HARDEE'S,8/31/1992 12:00:00 AM,,6116 FARRINGTON RD
WENDY'S #1161869,12/14/1992 12:00:00 AM,,295 WEST NC 54
SATISFACTION RESTAURANT AND BAR,1/4/1993 12:00:00 AM,,905 W MAIN ST STE37
DUKE HOSPITAL-NORTH CAFE,6/29/1993 12:00:00 AM,,DUKE MEDICAL CENTER (ERWIN RD)
DUKE REGIONAL HOSPITAL CAFETERIA,6/29/1993 12:00:00 AM,,3643 N ROXBORO ROAD
SPARTACUS RESTAURANT,8/20/1993 12:00:00 AM,,4139 CHAPEL HILL BLVD
OUTBACK STEAK HOUSE,9/15/1993 12:00:00 AM,,3500 MT MORIAH ROAD
BURGER KING 8030,10/6/1993 12:00:00 AM,,5275 N ROXBORO RD
MARDI GRAS SNACK BAR (THE),12/14/1993 12:00:00 AM,,6118 FARRINGTON RD
CHUCK E CHEESE,3/3/1994 12:00:00 AM,,3724 MAY FAIR STREET
EL DORADO'S #6,2/3/1994 12:00:00 AM,,4900 HWY 55
BURGER KING #222,3/22/1994 12:00:00 AM,,1200 W CLUB BLVD
HANDY CHINESE RESTAURANT,3/28/1994 12:00:00 AM,,5279 N ROXBORO RD
TORERO'S,4/8/1994 12:00:00 AM,,800 W MAIN ST
QUALITY MART #34,5/4/1994 12:00:00 AM,,5203 S MIAMI BLVD
AMERICAN LEGION POST 7,8/9/1994 12:00:00 AM,,406 E TRINITY AVE
BLEU OLIVE,8/9/1994 12:00:00 AM,,1821 HILLANDALE RD
WEST 94TH ST PUB,9/1/1994 12:00:00 AM,,4711 HOPE VALLEY RD
BISCUITVILLE 158,9/15/1994 12:00:00 AM,,2822 CHAPEL HILL BLVD
INTERNATIONAL DELIGHTS,1/9/1995 12:00:00 AM,,740 NINTH ST
CURRENT'S CAFETERIA,2/2/1995 12:00:00 AM,,3002 N ROXBORO ROAD
TOP'S CHINA RESTAURANT,3/7/1995 12:00:00 AM,,1205 UNIVERSITY DR
LAS PALMAS,8/31/1995 12:00:00 AM,,3801 WAKE FOREST HWY
WASHINGTON DUKE HOTEL,8/31/1995 12:00:00 AM,,3001 CAMERON BLVD
COSMIC CANTINA,10/16/1995 12:00:00 AM,,1920 1/2 PERRY ST
BARNES AND NOBLE   #2631,10/13/1995 12:00:00 AM,,5400 NEW HOPE COMMONS DRIVE
HOME PLATE RESTAURANT,10/13/1995 12:00:00 AM,,3327 WAKE FOREST HWY
BURGER KING,1/29/1996 12:00:00 AM,,1601 HWY. 55
TACO BELL,1/29/1996 12:00:00 AM,,3821 N DUKE ST
TACO BELL,1/29/1996 12:00:00 AM,,2101 E HWY 54
TACO BELL HILLSBOROUGH RD,1/29/1996 12:00:00 AM,,3570 HILLSBOROUGH RD
AMERICAN HERO,1/29/1996 12:00:00 AM,,2011 N ROXBORO ST
BISCUITVILLE  160,3/1/1996 12:00:00 AM,,3201 HILLSBOROUGH RD
IBM CAFETERIA  002,4/24/1996 12:00:00 AM,,3039 CORNWALLIS ROAD
IBM CAFETERIA  306,4/24/1996 12:00:00 AM,,DAVIS DR
IBM CAFETERIA  500,4/24/1996 12:00:00 AM,,4205 MIAMI BLVD
PIZZA HUT,7/8/1996 12:00:00 AM,,2105 SHERRON RD
